,pt_code,text,text_de
97,10061920,crazy ish,verrückter ish
98,10019211,Headache,Kopfschmerzen
99,10061087,connective tissue,Bindegewebe
100,10028596,heart attack,Herzinfarkt
101,10016322,zombie,Zombie
102,10048010,withdrawals,Rückzüge
103,10019211,headache,Kopfschmerzen
104,10009192,veins,Venen
105,10041349,sleepy,schläfrig
106,10013774,dry eyes,trockene Augen
107,10016322,zombies,Zombies
108,10013663,addictive,süchtig machend
109,10020937,numb,gefühllos
110,10029223,irritating my nerve endings,meine Nervenenden zu reizen
111,10015535,Tweaking,Optimieren von
112,10011401,crohns,crohns
113,10061428,can't eat,kann nicht essen
114,10025482,sick,krank
115,10050012,slow,langsam
116,10042033,steven johnson syndrome,steven-johnson-syndrom
117,10016256,knocks me out,schlägt mich k.o.
118,10000125,weird &amp; bizarre dreams,seltsam &amp; bizarre Träume
119,10041349,taken control of my eyes,die Kontrolle über meine Augen übernommen
120,10025482,feel so Ick,sich so Ick fühlen
121,10034719,messed up my attitude,meine Haltung durcheinander gebracht
122,10020642,sweatin,schwitzen
123,10039897,sedating,Beruhigend
124,10039626,Schizophrenia,Schizophrenie
125,10013573,dizziness,Schwindelgefühl
126,10016322,fuzziness,Unschärfe
127,10015535,fucked up,im Arsch
128,10013663,addiction,Sucht
129,10038428,kidneys have been swollen,Die Nieren sind geschwollen
130,10015535,jacked up,aufgebockt
131,10029898,OCD,OCD
132,10041349,barely keep my eyes open,kaum die Augen offen halten
133,10048010,withdrawal,Rückzug
134,10033371,pain,Schmerz
135,10040984,messed up my sleep,meinen Schlaf durcheinander gebracht
136,10048010,coming off Effexor was the worst,Das Ergebnis von Effexor war das schlechteste
137,10048010,withdrawal,Rückzug
138,10041349,drowsy,schläfrig
139,10002368,hating the world,Hass auf die Welt
140,10041349,sleepy,schläfrig
141,10015535,TWERK ME OUT,TWERK ME OUT
142,10013663,addict,süchtig
143,10015037,epilepsy,Epilepsie
144,10048010,withdrawal,Rückzug
145,10022437,insomina,insomina
146,10048010,withdrawal,Rückzug
147,10024419,get the horn my life,das Horn mein Leben bekommen
148,10057667,bipolar,bipolar
149,10021654,"just eat, and eat","einfach essen, und essen"
150,10016334,hot,heiß
151,10025482,sick,krank
152,10002855,anxiety,Angst
153,10002942,numb to feel,taub zu fühlen
154,10029412,bad dreams,schlechte Träume
155,10028245,ms,Frau
156,10010264,flare,Fackel
157,10024855,passing out,ohnmächtig
158,10012378,depression,Depression
159,10028836,pain in neck,Nackenschmerzen
160,10048010,withdrawal,Rückzug
161,10003988,back pain,Rückenschmerzen
162,10033371,aches,Schmerzen
163,10018304,Glaucoma,Glaukom
164,10048010,withdrawl,zurückziehenl
165,10016256,Chronic Fatigue Sydrome,Chronisches Ermüdungssyndrom
166,10028813,nausea,Übelkeit
167,10019070,VOICESINYOURHEAD,VOICESINYOURHEAD
168,10002368,angry,wütend
169,10027374,brain so retarded,Gehirn so zurückgeblieben
170,10033546,pale,blass
171,10033371,pain,Schmerz
172,10016322,Zombiness,Zombinität
173,10036596,come too fast,zu schnell kommen
174,10020751,allergic,Allergiker
175,10047899,weight gain,Gewichtszunahme
176,10015535,high,hoch
177,10033371,PAIN,SCHMERZ
178,10062519,light nights sleep,leichte Nächte schlafen
179,10046735,hives,Bienenstöcke
180,10020642,sweatin,schwitzen
181,10048010,withdrawal,Rückzug
182,10057667,bipolar,bipolar
183,10047895,lose @ 10 lbs,verlieren @ 10 lbs
184,10016256,fatigue,Müdigkeit
185,10038001,rebound,Rückprall
186,10029412,nightmares,Alpträume
187,10041347,sleep walking,Schlafwandeln
188,10057667,bpd,bpd
189,10028391,shoulder ache,Schulterschmerzen
190,10041349,like wading through treacle getting up,wie durch Sirup waten und aufstehen
191,10000125,crazy dreams,verrückte Träume
192,10022437,insomnia,Schlaflosigkeit
193,10041247,socialanxiety,Sozialangst
194,10036661,priapism,Priapismus
195,10016322,zombie,Zombie
196,10061428,no appetite,kein Appetit
197,10012378,depression,Depression
198,10022437,insomnia,Schlaflosigkeit
199,10003988,back pain,Rückenschmerzen
200,10016256,tired,müde
201,10013496,wreck my head,meinen Kopf zertrümmern
202,10015535,high,hoch
203,10022437,All nighter,Die ganze Nacht
204,10019211,headache,Kopfschmerzen
205,10037087,itchy skin,juckende Haut
206,10057667,Bipolar,Bipolar
207,10041349,nap,nap
208,10033371,pain,Schmerz
209,10029412,nightmare,Alptraum
210,10047899,gained 3stone,3Stein gewonnen
211,10003988,back pain,Rückenschmerzen
212,10040753,sinuses close up,Stirnhöhlen schließen
213,10007737,cataplexy,Kataplexie
214,10022437,can't sleep,kann nicht schlafen
215,10020765,Sleeping my life away,Mein Leben verschlafen
216,10003549,weak,schwach
217,10016322,don't feel fully human,sich nicht ganz menschlich fühlen
218,10016256,tiiiiired,tiiiiiert
219,10039897,dopey,dämlich
220,10006002,aching bones,schmerzende Knochen
221,10016256,tired,müde
222,10048010,coming off effexor is NOT fun,Anstrengung macht keinen Spaß
223,10011469,Crying,Weinend
224,10020765,sleep for days,tagelang schlafen
225,10048010,withdrawals,Rückzüge
226,10013573,dizzy,schwindlig
227,10047899,olanzapine lbs,Olanzapin lbs
228,10047899,weight,Gewicht
229,10002368,anger,ärgern
230,10047899,weight gain,Gewichtszunahme
231,10027374,murdering my mind,meinen Verstand ermorden
232,10025482,sick,krank
233,10016759,impossible to cry,unmöglich zu weinen
234,10020765,sleep,schlafen
235,10013573,lightheadeded,leichtsinnig
236,10022437,haven't slept,nicht geschlafen haben
237,10013663,addicted,süchtig
238,10003246,rheumatoidarthritis,Rheumatoidarthritis
239,10016326,cold,kalt
240,10013033,feel like I can't even stand,"das Gefühl haben, dass ich nicht einmal stehen kann"
241,10016330,twice as drunk,doppelt so betrunken
242,10001949,memory loss,Gedächtnisverlust
243,10016322,zombie-ness,Zombiehaftigkeit
244,10048010,withdrawls,zieht sich zurück
245,10002199,anaphylactic shock,anaphylaktischer Schock
246,10037844,Rash,Ausschlag
247,10020765,sleep for dayyssss,Schlaf für Tagyssss
248,10047895,lost 17 pounds,17 Pfund verloren
249,10013663,addiction,Sucht
250,10015535,tweakin out,ausbessern
251,10000125,lucidity,Klarheit
252,10003246,ra,ra
253,10033775,paraesthesia,Parästhesie
254,10020751,Allergic reaction,Allergische Reaktion
255,10025482,sick,krank
256,10027940,mood is stable,die Stimmung ist stabil
257,10024855,passes out,wird ohnmächtig
258,10048010,withdrawals,Rückzüge
259,10012378,depression,Depression
260,10020765,sleep,schlafen
261,10022437,not sleeping,nicht schlafend
262,10020937,Numbness,Taubheit
263,10036316,PTSD,PTSD
264,10010264,eyes worse,Augen schlechter
265,10015090,nose feel like its bleeding,"die Nase fühlt sich an, als würde sie bluten"
266,10013663,addiction,Sucht
267,10000059,sick to my stomach,Mir ist schlecht im Magen
268,10041349,sluggish and groggy,träge und groggy
269,10019063,hallucinate,halluzinieren
270,10041349,nap time,Mittagsschlafzeit
271,10048010,3 days of hell,3 Tage Hölle
272,10033371,Aches,Schmerzen
273,10047899,gained 40lbs,40 Pfund zugenommen
274,10048010,with drawls,mit Krawatten
275,10048010,withdrawal,Rückzug
276,10022437,awake,wach
277,10022998,crabby,mürrisch
278,10003246,rheum,rheum
279,10016322,zombie,Zombie
280,10056465,carb cravings,Heißhunger auf Kohlenhydrate
281,10013781,dry-mouth,Mundtrockenheit
282,10049119,brain is melting,Gehirn schmilzt
283,10052804,tolerance,Toleranz
284,10003239,joint pain,Gelenkschmerzen
285,10047899,weight,Gewicht
286,10027374,descent into madness,Abstieg in den Wahnsinn
287,10028813,feel like throwing up,Lust zu kotzen
288,10016322,yucky,igitt
289,10012378,depression.,Depression.
290,10016256,Tired,Müde
291,10025482,sick,krank
292,10003591,ataxia,Ataxie
293,10048010,withdrawal,Rückzug
294,10022437,no sleep,kein Schlaf
295,10020466,hunger inducing,Hunger auslösen
296,10020466,hungry,hungrig
297,10016256,Exhaustion,Erschöpfung
298,10020765,sleep for 11 hours,11 Stunden lang schlafen
299,10000087,stomach cramps,Magenkrämpfe
300,10013663,addict,süchtig
301,10020751,allergic reaction,allergische Reaktion
302,10022524,pre-cutting,Vorschneiden
303,10048010,withdrawals,Rückzüge
304,10012218,delirious,im Delirium
305,10028813,nausea,Übelkeit
306,10022998,torn faced,zerrissenes Gesicht
307,10041349,sleepy,schläfrig
308,10027175,gaps in memory,Lücken im Gedächtnis
309,10048010,withdrawal,Rückzug
310,10024264,sloth,Faultier
311,10061428,eat because I just forget,"essen, weil ich es einfach vergesse"
312,10033557,palpitations,Herzklopfen
313,10002855,anxiety,Angst
314,10016256,tired,müde
315,10012378,depression,Depression
316,10029412,nightmares,Alpträume
317,10013709,stopped working,aufgehört zu arbeiten
318,10021654,eat,essen
319,10061598,no immune,keine Immunität
320,10011401,crohns,crohns
321,10057667,bipolar,bipolar
322,10016256,wiping me out,mich auszulöschen
323,10028735,stuffy sinuses,verstopfte Nebenhöhlen
324,10033371,hurting,verletzend
325,10020642,sweatin,schwitzen
326,10020765,sleep for 15+ hours,über 15 Stunden schlafen
327,10043248,tendon rupture,Sehnenruptur
328,10019211,headache,Kopfschmerzen
329,10041349,hit hard,hart getroffen
330,10022437,no sleep,kein Schlaf
331,10022437,forciblynocturnal,gewaltsam nächtlich
332,10016322,zombie,Zombie
333,10028813,nausea,Übelkeit
334,10033799,crippled,verkrüppelt
335,10044565,jolting,rüttelnd
336,10021972,IBD,IBD
337,10028391,musculo-skeletal pain,muskulo-skelettale Schmerzen
338,10002368,angry,wütend
339,10000125,last night I was a mermaid and then a wizard who had to save the world while being hunted by the japanese,"Gestern Abend war ich eine Meerjungfrau und dann ein Zauberer, der die Welt retten musste, während er von den Japanern gejagt wurde."
340,10039626,Schizophrenia,Schizophrenie
341,10025482,sick,krank
342,10016256,fatigue,Müdigkeit
343,10041349,difficult to wake up,schwer aufzuwecken
344,10001480,No taste,Kein Geschmack
345,10019211,headache,Kopfschmerzen
346,10024419,reduces libido,reduziert die Libido
347,10013968,stop breathin,Atmung anhalten
348,10061428,didn't eat a thing,nichts gegessen hat
349,10048232,yawn,gähnen
350,10083622,attention-killing,aufmerksamkeitsstark
351,10003246,artheritis,Artheritis
352,10029898,OCD,OCD
353,10022437,not slept,nicht geschlafen
354,10027374,stupid,dumm
355,10054196,rollercoastery,Rollerbahn
356,10012422,not even a person anymore,nicht einmal mehr eine Person
357,10020765,sleep,schlafen
358,10037844,rash,vorschnell
359,10020751,allergic,Allergiker
360,10033371,aching,schmerzhaft
361,10027374,descent into madness,Abstieg in den Wahnsinn
362,10022437,able to sleep at night,nachts schlafen können
363,10057667,bipolar,bipolar
364,10027175,not remember,nicht erinnern
365,10020765,sleep,schlafen
366,10016322,zombified,zombifiziert
367,10017600,breastmilk production,Muttermilchproduktion
368,10014551,emotional,emotional
369,10014326,ejaculate,ejakulieren
370,10048010,withdrawals,Rückzüge
371,10025482,illness,Krankheit
372,10019211,headache,Kopfschmerzen
373,10053204,Can't run,Kann nicht laufen
374,10019009,bloodbath,Blutbad
375,10061461,impotency,Ohnmacht
376,10016256,pooped out,ausgepumpt
377,10021654,appetite,Appetit
378,10002368,angry,wütend
379,10033645,pancreatitis,Pankreatitis
380,10005780,prolactin levels,Prolaktinspiegel
381,10020751,Allergic reaction,Allergische Reaktion
382,10012378,depressed,deprimiert
383,10022437,awake all night,die ganze Nacht wach
384,10002652,could not orgasm,konnte nicht zum Orgasmus kommen
385,10033425,limbs ached,Gliederschmerzen
386,10047513,blurry vision,verschwommenes Sehen
387,10048010,withdrawal,Rückzug
388,10015137,burps,rülpst
389,10048948,Bedridden,Bettlägerige
390,10001496,mixed episodes,gemischte Episoden
391,10025482,sickest,am krankesten
392,10003239,joint pain,Gelenkschmerzen
393,10048010,withdrawal,Rückzug
394,10048010,withdrawals,Rückzüge
395,10028245,MS,MS
396,10048010,withdrawals,Rückzüge
397,10022437,stay up all night,die ganze Nacht aufbleiben
398,10033371,pain,Schmerz
399,10041349,groggy,groggy
400,10033371,ache,ache
401,10023163,JCV,JCV
402,10048010,withdrawal,Rückzug
403,10020765,fall asleep,einschlafen
404,10040984,fucks up my sleep,versaut mir den Schlaf
405,10016330,feel so drink,sich so trinken
406,10012378,depressed thoughts,depressive Gedanken
407,10047700,vomit,Erbrechen
408,10083622,adhd,adhd
409,10025482,sick,krank
410,10016330,feel wasted,sich vergeudet fühlen
411,10020765,sleep,schlafen
412,10033371,achy,achy
413,10020765,need to sleep 24/7,24/7 schlafen müssen
414,10008399,raging bm's,wütende bm's
415,10061920,psychosis,Psychose
416,10020466,hungrier,hungriger
417,10003239,weak knees,schwache Knie
418,10013663,addicted,süchtig
419,10025482,sick,krank
420,10020651,spazzing out,ausflippen
421,10019211,headaches,Kopfschmerzen
422,10008479,chest pain,Brustschmerzen
423,10016326,cold,kalt
424,10048010,withdrawal,Rückzug
425,10005750,BP,BP
426,10041349,sleeping 9 hours in the day,9 Stunden am Tag schlafen
427,10047899,weight gain,Gewichtszunahme
428,10058920,restless legs,unruhige Beine
429,10003402,sting,stechen
430,10013781,Dry mouth,Trockener Mund
431,10033371,hurts,schmerzt
432,10052804,tolerance,Toleranz
433,10020765,slept aw day,schlief den ganzen Tag über
434,10013663,craving,Verlangen
435,10048010,withdrawl,zurückziehenl
436,10021654,overeating,Überessen
437,10047700,puke,kotzen
438,10016322,feeling ill,sich krank fühlen
439,10060800,overheating,Überhitzung
440,10055798,loosing so much blood,so viel Blut zu verlieren
441,10047899,extra 20kg,zusätzlich 20kg
442,10044565,shake,schütteln
443,10037844,rash,vorschnell
444,10043431,irrational,unvernünftig
445,10061920,crazies,Verrückte
446,10028347,twitching,zuckend
447,10047899,gain like 50 pounds,um etwa 50 Pfund zunehmen
448,10028836,neck pain,Nackenschmerzen
449,10014551,EMOTIONALLY UNSTABLE,EMOTIONAL INSTABIL
450,10027175,memory damage,Gedächtnisschäden
451,10020765,sleeping,schlafend
452,10005734,blood pressure dropped,Blutdruck gesunken
453,10047899,weightgain,Gewichtszunahme
454,10025482,sick,krank
455,10029412,bad dreams,schlechte Träume
456,10037660,fever,Fieber
457,10042945,lupus flare,Lupus-Flare
458,10025482,ill,krank
459,10000125,dream,Traum
460,10020765,sleeping 18 hrs a day,18 Stunden am Tag schlafen
461,10041349,nap,nap
462,10083622,AD,AD
463,10003239,hip,hippe
464,10022437,awake,wach
465,10000125,crazy dreams,verrückte Träume
466,10064805,think too much,zu viel denken
467,10022998,irritated,irritiert
468,10001496,mixed episode,gemischte Episode
469,10029898,OCD,OCD
470,10017853,tummytrouble,tummytrouble
471,10012374,sad,traurig
472,10022437,got ten minutes of sleep,zehn Minuten Schlaf bekommen
473,10020765,get out of bed,Aufstehen aus dem Bett
474,10019133,hangovers,Kater
475,10047899,gain weight,an Gewicht zunehmen
476,10013573,going to my head,mir zu Kopf steigen
477,10047899,added 1 stone,1 Stein hinzugefügt
478,10020765,Getting out of bed is haaard,Das Aufstehen aus dem Bett ist mühsam
479,10022524,selfharm,Selbstverletzung
480,10021097,hypotension,Hypotonie
481,10048010,withdrawal,Rückzug
482,10005159,eye,Auge
483,10047899,olanzapine lbs,Olanzapin lbs
484,10052897,nerve damage,Nervenschäden
485,10000125,dreamt colours,geträumte Farben
486,10013968,short of breath,Kurzatmigkeit
487,10013663,addiction,Sucht
488,10039424,saliva,Speichel
489,10028330,muscle relaxant,Muskelrelaxans
490,10012218,delirious,im Delirium
491,10033371,after-sting,nach dem Stachel
492,10020642,sweaty,verschwitzte
493,10012378,anti-depress,anti-depressiv
494,10004716,Over-eaten,Überfressen
495,10054196,moods are void of stability,Stimmungen sind ohne Stabilität
496,10012378,depression,Depression
497,10047899,wait gain,warten gewinnen
498,10003239,joint pain,Gelenkschmerzen
499,10022437,not sleeping,nicht schlafend
500,10047899,fatness,Fettleibigkeit
501,10047513,see ) straight,siehe ) gerade
502,10013916,Body would rock,Körper würde schaukeln
503,10016256,fatigue,Müdigkeit
504,10002855,anxious,ängstlich
505,10042458,destroy myself,mich selbst zerstören
506,10007737,cataplexy,Kataplexie
507,10021654,STARVING,STÄRKEN
508,10003988,Back ache,Rückenschmerzen
509,10016330,mashed,püriert
510,10037660,low grade temp,niedrige Temperatur
511,10067484,reaction,Reaktion
512,10016330,drunk,betrunken
513,10070863,toxicity,Toxizität
514,10028245,MS,MS
515,10050584,bruises,blaue Flecken
516,10016256,knackered when I wake,"kaputt, wenn ich aufwache"
517,10003988,back,zurück
518,10011401,crohns,crohns
519,10048010,withdrawal,Rückzug
520,10061920,psychotic reactions,psychotische Reaktionen
521,10002368,raging,wütend
522,10047899,gained weight,Gewicht zugenommen
523,10048010,discontinuation syndrome,Abbruch-Syndrom
524,10042033,SJS,SJS
525,10048010,coming off it,davonkommend
526,10012174,dehydrates,dehydriert
527,10000087,tummy pains,Bauchschmerzen
528,10013709,stopped working,aufgehört zu arbeiten
529,10048010,sucked going from 100mg Desvenlafaxine / day to zero,von 100 mg Desvenlafaxin / Tag auf Null gesaugt
530,10028813,nausea,Übelkeit
531,10020642,sweating,Schwitzen
532,10039626,schizo,schizo
533,10061461,erectile dysfunction,erektile Dysfunktion
534,10053615,BURN MY VEINS,MEINE WEINE WEINE VERBRENNEN
535,10005780,prolactin levels,Prolaktinspiegel
536,10016717,fistula,Fistel
537,10048010,withdrawal,Rückzug
538,10000125,dreams,Träume
539,10002368,turn peaceful people into the hulk,friedliche Menschen in den Koloss verwandeln
540,10025482,ill,krank
541,10015137,burp,rülpsen
542,10047899,weight still keeps coming,Gewicht kommt immer noch
543,10028347,Twitchy,Nervös
544,10022437,keeping me up,mich aufrechterhalten
545,10002855,anxiety,Angst
546,10022437,NOT LET ME SLEEP,MICH NICHT SCHLAFEN LASSEN
547,10002652,ability to cum,Fähigkeit zum Cum
548,10057667,bipolar,bipolar
549,10013911,taste,Geschmack
550,10010774,feeling like you have to poop,"das Gefühl, kacken zu müssen"
551,10025082,lungs,Lungen
552,10020751,allergic,Allergiker
553,10021654,eating incredibly differently,unglaublich anders essen
554,10048010,withdrawals,Rückzüge
555,10014551,overreacted,hat überreagiert
556,10028813,nausea,Übelkeit
557,10031085,orgasm,Orgasmus
558,10061428,not hungry,nicht hungrig
559,10044565,shakes,schüttelt
560,10012239,falling into a realm of utter disillusion,in einen Bereich völliger Desillusionierung fallen
561,10001949,not remembering,sich nicht erinnern
562,10020765,knocks you outttttttt,stößt Sie austtttttttt
563,10030124,Swollen feet,Geschwollene Füße
564,10022437,insomnia,Schlaflosigkeit
565,10003549,weakness,Schwäche
566,10000087,stomach ache,Bauchschmerzen
567,10020751,allergic,Allergiker
568,10016256,energy,Energie
569,10033371,aches and pains,Schmerzen und Wehwehchen
570,10000125,dreams,Träume
571,10016322,feel sooooooo weird,sich sooooooooo komisch fühlen
572,10047899,put on weight,an Gewicht zulegen
573,10002942,inability to cry,Unfähigkeit zu weinen
574,10057668,cognitive problems,kognitive Probleme
575,10038743,restless,unruhig
576,10020642,sweats,schwitzt
577,10022004,flu symptoms,Grippe-Symptome
578,10047899,weight gain,Gewichtszunahme
579,10003239,joint pain,Gelenkschmerzen
580,10041349,out of it,aus ihm heraus
581,10054196,mood dips,Stimmungseinbrüche
582,10033371,equivalent to torture,entspricht der Folter
583,10021654,eating,Essen
584,10033371,pain,Schmerz
585,10000125,dreams,Träume
586,10022437,need to sleep,Schlafbedürfnis
587,10047700,puking,kotzend
588,10046571,UTI,UTI
589,10033371,aches and pains,Schmerzen und Wehwehchen
590,10043521,throat,Kehle
591,10022437,insomnia,Schlaflosigkeit
592,10022437,insomniac,Schlaflos
593,10047340,vertigo,Schwindelgefühl
594,10020466,hungry,hungrig
595,10020765,need to be awake,müssen wach sein
596,10003246,ra,ra
597,10048010,withdrawal,Rückzug
598,10019211,headaches,Kopfschmerzen
599,10013709,stopped working,aufgehört zu arbeiten
600,10048010,withdraws,zieht  zurück.
601,10012378,depression,Depression
602,10022437,wide awake,hellwach
603,10048010,withdrawal,Rückzug
604,10022437,insomnia,Schlaflosigkeit
605,10003988,back pain,Rückenschmerzen
606,10033371,achy,achy
607,10024419,Killed my libido,Tötete meine Libido
608,10025482,sick,krank
609,10047513,blurry-eyed,mit verschwommenen Augen
610,10012735,Diarrhea,Durchfall
611,10011906,died,gestorben
612,10021654,appetite,Appetit
613,10016256,tired,müde
614,10042458,suicidal,selbstmörderisch
615,10013573,dizzy,schwindlig
616,10039906,seizure,Beschlagnahme
617,10000125,lucid dreaming,Klares Träumen
618,10041349,out of it,aus ihm heraus
619,10037844,rash,vorschnell
620,10001949,amnesic,amnestisch
621,10016256,fatigue,Müdigkeit
622,10038743,restlessness,Ruhelosigkeit
623,10033664,panic attacks.,Panikattacken.
624,10028245,ms,Frau
625,10020765,sleep,schlafen
626,10033799,crippled,verkrüppelt
627,10033425,legs ache,Schmerzen in den Beinen
628,10016807,fluid retention,Flüssigkeitsretention
629,10013573,lo0o0py,lo0o0py
630,10019211,head pain,Kopfschmerzen
631,10041349,sleepy,schläfrig
632,10048010,w/d,w/d
633,10047895,-9.5lbs,"-9,5 Pfund"
634,10022437,awake,wach
635,10043087,doesn't even work for me anymore,arbeitet nicht einmal mehr für mich
636,10022437,not sleeping,nicht schlafend
637,10020765,just now wake up,gerade jetzt aufwachen
638,10033371,pain,Schmerz
639,10012378,depressed,deprimiert
640,10003988,back pain,Rückenschmerzen
641,10006784,felt like acid,fühlte sich wie Säure an
642,10016322,miserable,miserabel
643,10027374,can?t think,kann nicht denken
644,10028813,nauaea,nauaea
645,10047700,puke,kotzen
646,10013573,dizzy,schwindlig
647,10008399,bowels,Eingeweide
648,10020765,knocked on my ass,auf den Hintern geklopft
649,10049816,jaw,Kiefer
650,10041349,nap,nap
651,10043255,tendonitis,Sehnenscheidenentzündung
652,10020751,allergic,Allergiker
653,10002942,no feelings,keine Gefühle
654,10016275,terrifying,erschreckend
655,10016322,not making me feel so awesome.,Ich fühle mich nicht so fantastisch.
656,10052804,resisting it,Widerstand dagegen
657,10057667,bipolar,bipolar
658,10033775,Paraesthesia,Parästhesie
659,10058920,restlesslegs,restlestlestless-legs
660,10038743,Restlessness,Ruhelosigkeit
661,10047899,put much weight on,viel Gewicht auf
662,10033371,leg aches,Beinschmerzen
663,10041349,knocked me sidewards,schlug mich zur Seite
664,10001760,hairloss,Haarausfall
665,10047899,increase my weight,mein Gewicht erhöhen
666,10028836,neck,Hals
667,10020765,wo n't wake up,würden nicht aufwachen
668,10041349,drowsy,schläfrig
669,10067484,reaction,Reaktion
670,10028813,nausea,Übelkeit
671,10011401,Crohns,Crohns
672,10013573,dizzy,schwindlig
673,10037686,puss,puss
674,10012378,depression,Depression
675,10003246,rheum,rheum
676,10028813,nausea,Übelkeit
677,10003549,weak,schwach
678,10022437,cant sleep,kann nicht schlafen
679,10019211,headaches,Kopfschmerzen
680,10033371,lung pain,Lungenschmerzen
681,10047899,fat,fett
682,10022437,insomnia,Schlaflosigkeit
683,10012378,depressed,deprimiert
684,10047899,gained over 20 lbs,über 20 Pfund zugenommen
685,10067484,painful reactions,schmerzhafte Reaktionen
686,10048010,withdrawals,Rückzüge
687,10016256,tired,müde
688,10047899,weight gain,Gewichtszunahme
689,10041002,sleep paralysis,Schlaflähmung
690,10037153,psoriasis,Psoriasis
691,10061428,don't eat,nicht essen
692,10048294,perspective,Perspektive
693,10067484,reaction,Reaktion
694,10041349,nap,nap
695,10009866,cold sweats,kalte Schweißausbrüche
696,10020765,half-asleep,im Halbschlaf
697,10019133,hangover,Kater
698,10007515,heart stopped,Herzstillstand
699,10016322,zombie,Zombie
700,10041349,not stay up,nicht aufbleiben
701,10024419,sex drive / libido,Sexualtrieb / Libido
702,10047899,fat,fett
703,10027374,stupid,dumm
